LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
JPN,TRADEGOOD,IMP,BLN_USD,Q,2018-Q4,189.9734,
JPN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q1,179.7679,
JPN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q2,182.3546,
JPN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q3,184.3009,
JPN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q4,175.5856,
JPN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q1,164.6884,
JPN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q2,156.3027,
JPN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q3,150.5004,
JPN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q4,160.4593,
JPN,TRADEGOOD,IMP,BLN_USD,Q,2021-Q1,175.8203,
NLD,TRADEGOOD,IMP,BLN_USD,Q,2018-Q1,163.9509,
NLD,TRADEGOOD,IMP,BLN_USD,Q,2018-Q2,159.86,
NLD,TRADEGOOD,IMP,BLN_USD,Q,2018-Q3,162.5668,
NLD,TRADEGOOD,IMP,BLN_USD,Q,2018-Q4,159.5587,
NLD,TRADEGOOD,IMP,BLN_USD,Q,2019-Q1,160.3687,
NLD,TRADEGOOD,IMP,BLN_USD,Q,2019-Q2,158.1013,
NLD,TRADEGOOD,IMP,BLN_USD,Q,2019-Q3,157.5285,
NLD,TRADEGOOD,IMP,BLN_USD,Q,2019-Q4,159.0933,
NLD,TRADEGOOD,IMP,BLN_USD,Q,2020-Q1,149.132,
NLD,TRADEGOOD,IMP,BLN_USD,Q,2020-Q2,132.5709,
NLD,TRADEGOOD,IMP,BLN_USD,Q,2020-Q3,150.6297,
NLD,TRADEGOOD,IMP,BLN_USD,Q,2020-Q4,160.8329,
NLD,TRADEGOOD,IMP,BLN_USD,Q,2021-Q1,173.6912,
ESP,TRADEGOOD,IMP,BLN_USD,Q,2018-Q1,98.67938,
ESP,TRADEGOOD,IMP,BLN_USD,Q,2018-Q2,99.56579,
ESP,TRADEGOOD,IMP,BLN_USD,Q,2018-Q3,96.86372,
ESP,TRADEGOOD,IMP,BLN_USD,Q,2018-Q4,95.98191,
ESP,TRADEGOOD,IMP,BLN_USD,Q,2019-Q1,93.69527,
ESP,TRADEGOOD,IMP,BLN_USD,Q,2019-Q2,94.24657,
ESP,TRADEGOOD,IMP,BLN_USD,Q,2019-Q3,92.87955,
ESP,TRADEGOOD,IMP,BLN_USD,Q,2019-Q4,91.23855,
ESP,TRADEGOOD,IMP,BLN_USD,Q,2020-Q1,87.87907,
ESP,TRADEGOOD,IMP,BLN_USD,Q,2020-Q2,62.81746,
ESP,TRADEGOOD,IMP,BLN_USD,Q,2020-Q3,83.17322,
ESP,TRADEGOOD,IMP,BLN_USD,Q,2020-Q4,89.79901,
ESP,TRADEGOOD,IMP,BLN_USD,Q,2021-Q1,94.35424,
TUR,TRADEGOOD,IMP,BLN_USD,Q,2018-Q1,65.49995,
TUR,TRADEGOOD,IMP,BLN_USD,Q,2018-Q2,62.37836,
TUR,TRADEGOOD,IMP,BLN_USD,Q,2018-Q3,55.00986,
TUR,TRADEGOOD,IMP,BLN_USD,Q,2018-Q4,47.87873,
TUR,TRADEGOOD,IMP,BLN_USD,Q,2019-Q1,52.06891,
TUR,TRADEGOOD,IMP,BLN_USD,Q,2019-Q2,51.26496,
TUR,TRADEGOOD,IMP,BLN_USD,Q,2019-Q3,52.34114,
TUR,TRADEGOOD,IMP,BLN_USD,Q,2019-Q4,54.81868,
TUR,TRADEGOOD,IMP,BLN_USD,Q,2020-Q1,56.68148,
TUR,TRADEGOOD,IMP,BLN_USD,Q,2020-Q2,42.54003,
TUR,TRADEGOOD,IMP,BLN_USD,Q,2020-Q3,57.65753,
TUR,TRADEGOOD,IMP,BLN_USD,Q,2020-Q4,61.55358,
TUR,TRADEGOOD,IMP,BLN_USD,Q,2021-Q1,62.38679,
GBR,TRADEGOOD,IMP,BLN_USD,Q,2018-Q1,164.5249,
GBR,TRADEGOOD,IMP,BLN_USD,Q,2018-Q2,160.7849,
GBR,TRADEGOOD,IMP,BLN_USD,Q,2018-Q3,157.9433,
GBR,TRADEGOOD,IMP,BLN_USD,Q,2018-Q4,160.3074,
GBR,TRADEGOOD,IMP,BLN_USD,Q,2019-Q1,169.8908,
GBR,TRADEGOOD,IMP,BLN_USD,Q,2019-Q2,152.7231,
GBR,TRADEGOOD,IMP,BLN_USD,Q,2019-Q3,149.7421,
GBR,TRADEGOOD,IMP,BLN_USD,Q,2019-Q4,149.6562,
GBR,TRADEGOOD,IMP,BLN_USD,Q,2020-Q1,141.2951,
GBR,TRADEGOOD,IMP,BLN_USD,Q,2020-Q2,104.6927,
GBR,TRADEGOOD,IMP,BLN_USD,Q,2020-Q3,134.8245,
GBR,TRADEGOOD,IMP,BLN_USD,Q,2020-Q4,159.3741,
