LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
JPN,TRADEGOOD,EXP,BLN_USD,Q,2018-Q4,182.1766,
JPN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q1,176.1665,
JPN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q2,175.6004,
JPN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q3,179.9953,
JPN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q4,174.5723,
JPN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q1,167.3343,
JPN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q2,133.4506,
JPN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q3,157.9292,
JPN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q4,179.9437,
JPN,TRADEGOOD,EXP,BLN_USD,Q,2021-Q1,184.5523,
NLD,TRADEGOOD,EXP,BLN_USD,Q,2018-Q1,183.922,
NLD,TRADEGOOD,EXP,BLN_USD,Q,2018-Q2,181.0394,
NLD,TRADEGOOD,EXP,BLN_USD,Q,2018-Q3,183.8317,
NLD,TRADEGOOD,EXP,BLN_USD,Q,2018-Q4,178.2337,
NLD,TRADEGOOD,EXP,BLN_USD,Q,2019-Q1,179.0376,
NLD,TRADEGOOD,EXP,BLN_USD,Q,2019-Q2,175.2392,
NLD,TRADEGOOD,EXP,BLN_USD,Q,2019-Q3,175.5872,
NLD,TRADEGOOD,EXP,BLN_USD,Q,2019-Q4,177.7973,
NLD,TRADEGOOD,EXP,BLN_USD,Q,2020-Q1,171.2396,
NLD,TRADEGOOD,EXP,BLN_USD,Q,2020-Q2,146.4592,
NLD,TRADEGOOD,EXP,BLN_USD,Q,2020-Q3,170.4465,
NLD,TRADEGOOD,EXP,BLN_USD,Q,2020-Q4,184.8529,
NLD,TRADEGOOD,EXP,BLN_USD,Q,2021-Q1,195.2387,
ESP,TRADEGOOD,EXP,BLN_USD,Q,2018-Q1,89.13837,
ESP,TRADEGOOD,EXP,BLN_USD,Q,2018-Q2,87.7058,
ESP,TRADEGOOD,EXP,BLN_USD,Q,2018-Q3,86.41679,
ESP,TRADEGOOD,EXP,BLN_USD,Q,2018-Q4,84.78377,
ESP,TRADEGOOD,EXP,BLN_USD,Q,2019-Q1,84.04239,
ESP,TRADEGOOD,EXP,BLN_USD,Q,2019-Q2,84.5841,
ESP,TRADEGOOD,EXP,BLN_USD,Q,2019-Q3,82.49489,
ESP,TRADEGOOD,EXP,BLN_USD,Q,2019-Q4,82.7303,
ESP,TRADEGOOD,EXP,BLN_USD,Q,2020-Q1,79.15995,
ESP,TRADEGOOD,EXP,BLN_USD,Q,2020-Q2,59.69642,
ESP,TRADEGOOD,EXP,BLN_USD,Q,2020-Q3,80.91499,
ESP,TRADEGOOD,EXP,BLN_USD,Q,2020-Q4,86.8969,
ESP,TRADEGOOD,EXP,BLN_USD,Q,2021-Q1,90.13116,
TUR,TRADEGOOD,EXP,BLN_USD,Q,2018-Q1,43.50584,
TUR,TRADEGOOD,EXP,BLN_USD,Q,2018-Q2,43.21083,
TUR,TRADEGOOD,EXP,BLN_USD,Q,2018-Q3,45.3301,
TUR,TRADEGOOD,EXP,BLN_USD,Q,2018-Q4,45.09195,
TUR,TRADEGOOD,EXP,BLN_USD,Q,2019-Q1,45.39622,
TUR,TRADEGOOD,EXP,BLN_USD,Q,2019-Q2,44.42833,
TUR,TRADEGOOD,EXP,BLN_USD,Q,2019-Q3,45.35567,
TUR,TRADEGOOD,EXP,BLN_USD,Q,2019-Q4,45.56222,
TUR,TRADEGOOD,EXP,BLN_USD,Q,2020-Q1,43.25094,
TUR,TRADEGOOD,EXP,BLN_USD,Q,2020-Q2,32.66439,
TUR,TRADEGOOD,EXP,BLN_USD,Q,2020-Q3,43.69249,
TUR,TRADEGOOD,EXP,BLN_USD,Q,2020-Q4,48.5648,
TUR,TRADEGOOD,EXP,BLN_USD,Q,2021-Q1,51.21862,
GBR,TRADEGOOD,EXP,BLN_USD,Q,2018-Q1,117.7453,
GBR,TRADEGOOD,EXP,BLN_USD,Q,2018-Q2,113.2531,
GBR,TRADEGOOD,EXP,BLN_USD,Q,2018-Q3,112.9223,
GBR,TRADEGOOD,EXP,BLN_USD,Q,2018-Q4,109.4849,
GBR,TRADEGOOD,EXP,BLN_USD,Q,2019-Q1,115.9476,
GBR,TRADEGOOD,EXP,BLN_USD,Q,2019-Q2,109.8676,
GBR,TRADEGOOD,EXP,BLN_USD,Q,2019-Q3,107.853,
GBR,TRADEGOOD,EXP,BLN_USD,Q,2019-Q4,109.1597,
GBR,TRADEGOOD,EXP,BLN_USD,Q,2020-Q1,102.2434,
GBR,TRADEGOOD,EXP,BLN_USD,Q,2020-Q2,76.60057,
GBR,TRADEGOOD,EXP,BLN_USD,Q,2020-Q3,94.45041,
GBR,TRADEGOOD,EXP,BLN_USD,Q,2020-Q4,106.5635,
GBR,TRADEGOOD,EXP,BLN_USD,Q,2021-Q1,100.5405,
USA,TRADEGOOD,EXP,BLN_USD,Q,2018-Q1,410.122,
USA,TRADEGOOD,EXP,BLN_USD,Q,2018-Q2,423.087,
USA,TRADEGOOD,EXP,BLN_USD,Q,2018-Q3,416.61,
USA,TRADEGOOD,EXP,BLN_USD,Q,2018-Q4,415.869,
USA,TRADEGOOD,EXP,BLN_USD,Q,2019-Q1,416.613,
USA,TRADEGOOD,EXP,BLN_USD,Q,2019-Q2,408.63,
USA,TRADEGOOD,EXP,BLN_USD,Q,2019-Q3,408.652,
USA,TRADEGOOD,EXP,BLN_USD,Q,2019-Q4,409.268,
USA,TRADEGOOD,EXP,BLN_USD,Q,2020-Q1,401.1,
USA,TRADEGOOD,EXP,BLN_USD,Q,2020-Q2,287.879,
USA,TRADEGOOD,EXP,BLN_USD,Q,2020-Q3,356.004,
USA,TRADEGOOD,EXP,BLN_USD,Q,2020-Q4,386.627,
USA,TRADEGOOD,EXP,BLN_USD,Q,2021-Q1,408.673,
ARG,TRADEGOOD,EXP,BLN_USD,Q,2018-Q1,16.22081,
ARG,TRADEGOOD,EXP,BLN_USD,Q,2018-Q2,14.44168,
ARG,TRADEGOOD,EXP,BLN_USD,Q,2018-Q3,14.71721,
ARG,TRADEGOOD,EXP,BLN_USD,Q,2018-Q4,16.4013,
ARG,TRADEGOOD,EXP,BLN_USD,Q,2019-Q1,16.27547,
ARG,TRADEGOOD,EXP,BLN_USD,Q,2019-Q2,15.20695,
ARG,TRADEGOOD,EXP,BLN_USD,Q,2019-Q3,15.97192,
ARG,TRADEGOOD,EXP,BLN_USD,Q,2019-Q4,17.66166,
ARG,TRADEGOOD,EXP,BLN_USD,Q,2020-Q1,15.01653,
ARG,TRADEGOOD,EXP,BLN_USD,Q,2020-Q2,13.08937,
ARG,TRADEGOOD,EXP,BLN_USD,Q,2020-Q3,13.73608,
ARG,TRADEGOOD,EXP,BLN_USD,Q,2020-Q4,13.04202,
ARG,TRADEGOOD,EXP,BLN_USD,Q,2021-Q1,17.39075,
BRA,TRADEGOOD,EXP,BLN_USD,Q,2018-Q1,59.78871,
BRA,TRADEGOOD,EXP,BLN_USD,Q,2018-Q2,56.97949,
BRA,TRADEGOOD,EXP,BLN_USD,Q,2018-Q3,60.49335,
BRA,TRADEGOOD,EXP,BLN_USD,Q,2018-Q4,62.07296,
BRA,TRADEGOOD,EXP,BLN_USD,Q,2019-Q1,56.27922,
BRA,TRADEGOOD,EXP,BLN_USD,Q,2019-Q2,56.59217,
BRA,TRADEGOOD,EXP,BLN_USD,Q,2019-Q3,57.15643,
BRA,TRADEGOOD,EXP,BLN_USD,Q,2019-Q4,55.37448,
BRA,TRADEGOOD,EXP,BLN_USD,Q,2020-Q1,51.97699,
BRA,TRADEGOOD,EXP,BLN_USD,Q,2020-Q2,51.32373,
BRA,TRADEGOOD,EXP,BLN_USD,Q,2020-Q3,52.19063,
BRA,TRADEGOOD,EXP,BLN_USD,Q,2020-Q4,52.8109,
BRA,TRADEGOOD,EXP,BLN_USD,Q,2021-Q1,60.57594,
CHN,TRADEGOOD,EXP,BLN_USD,Q,2018-Q1,660.9438,
CHN,TRADEGOOD,EXP,BLN_USD,Q,2018-Q2,626.3282,
CHN,TRADEGOOD,EXP,BLN_USD,Q,2018-Q3,630.584,
CHN,TRADEGOOD,EXP,BLN_USD,Q,2018-Q4,606.5338,
CHN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q1,647.9733,
CHN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q2,620.9578,
CHN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q3,623.2256,
CHN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q4,610.8911,
CHN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q1,537.1963,
CHN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q2,625.4964,
CHN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q3,673.4487,
CHN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q4,710.134,
CHN,TRADEGOOD,EXP,BLN_USD,Q,2021-Q1,844.075,
IDN,TRADEGOOD,EXP,BLN_USD,Q,2018-Q1,45.62578,
IDN,TRADEGOOD,EXP,BLN_USD,Q,2018-Q2,43.95084,
IDN,TRADEGOOD,EXP,BLN_USD,Q,2018-Q3,46.37309,
IDN,TRADEGOOD,EXP,BLN_USD,Q,2018-Q4,44.06631,
IDN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q1,42.69958,
IDN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q2,40.00632,
IDN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q3,42.68776,
IDN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q4,42.21946,
IDN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q1,42.76944,
IDN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q2,35.22581,
IDN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q3,39.87655,
IDN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q4,44.99583,
IDN,TRADEGOOD,EXP,BLN_USD,Q,2021-Q1,50.5893,
SAU,TRADEGOOD,EXP,BLN_USD,Q,2018-Q1,67.72626,
SAU,TRADEGOOD,EXP,BLN_USD,Q,2018-Q2,75.34226,
SAU,TRADEGOOD,EXP,BLN_USD,Q,2018-Q3,77.42071,
SAU,TRADEGOOD,EXP,BLN_USD,Q,2018-Q4,73.83955,
SAU,TRADEGOOD,EXP,BLN_USD,Q,2019-Q1,68.60843,
SAU,TRADEGOOD,EXP,BLN_USD,Q,2019-Q2,68.87162,
SAU,TRADEGOOD,EXP,BLN_USD,Q,2019-Q3,63.25816,
SAU,TRADEGOOD,EXP,BLN_USD,Q,2019-Q4,61.05435,
SAU,TRADEGOOD,EXP,BLN_USD,Q,2020-Q1,53.17569,
SAU,TRADEGOOD,EXP,BLN_USD,Q,2020-Q2,33.81445,
SAU,TRADEGOOD,EXP,BLN_USD,Q,2020-Q3,43.03064,
SAU,TRADEGOOD,EXP,BLN_USD,Q,2020-Q4,43.92859,
